Ticker,Report Date,Return on assets,Return on equity,Earnings per share ,Operating profitability ,Accruals,Cash-based operating profitability
JNJ,2018-06-30,0.02545,0.06287,1.47411,29212000000,24810000000,4402000000
JNJ,2018-09-30,0.02527,0.06087,1.46616,28399000000,25664000000,2735000000
JNJ,2018-12-31,0.01989,0.05091,1.1358,29609000000,28434000000,1175000000
JNJ,2019-03-31,0.02499,0.06359,1.40897,28098000000,27403000000,695000000
JNJ,2019-06-30,0.03615,0.09224,2.11385,28774000000,29634000000,-860000000
JNJ,2019-09-30,0.01127,0.03012,0.66522,28702000000,32863000000,-4161000000
JNJ,2019-12-31,0.02542,0.06743,1.52361,30018000000,34762000000,-4744000000
KO,2010-06-30,0.0489,0.09179,0.51366,11630000000,6652000000,4978000000
KO,2010-09-30,0.03799,0.07287,0.44481,11590000000,8120000000,3470000000
KO,2010-12-31,0.07884,0.18357,1.2433,15586000000,9132000000,6454000000
KO,2011-03-31,0.02502,0.05838,0.41514,14802000000,8524000000,6278000000
KO,2011-06-30,0.03496,0.07904,0.61135,17306000000,9382000000,7924000000
KO,2011-09-30,0.0272,0.06639,0.48655,16867000000,10101000000,6766000000
KO,2011-12-31,0.02072,0.05191,0.36522,15721000000,9371000000,6350000000
KO,2012-03-31,0.02448,0.06183,0.45392,15417000000,10082000000,5335000000
KO,2012-06-30,0.03274,0.08545,0.61804,17652000000,10390000000,7262000000
KO,2012-09-30,0.02667,0.0688,0.51333,17034000000,10459000000,6575000000
KO,2012-12-31,0.02165,0.05626,0.4167,16099000000,9151000000,6948000000
KO,2013-03-31,0.0198,0.05323,0.39304,15338000000,9829000000,5509000000
KO,2013-06-30,0.0299,0.08201,0.60189,17266000000,10494000000,6772000000
KO,2013-09-30,0.02736,0.07537,0.55287,16795000000,11008000000,5787000000
KO,2013-12-31,0.01899,0.05114,0.38784,15660000000,9886000000,5774000000
